gs_citations,is_intro_pres,is_meth_pres,is_res_pres,no_images,no_tables,no_alg,no_equations,fund_avail,accept_avail,suppl_info,link_to_code,target
10,1,0,0,7,2,3,0,1,1,1,1,0
52,1,1,0,2,0,3,0,0,1,1,0,0
8,1,1,0,11,1,3,0,0,1,1,1,0
30,1,1,0,5,4,3,0,1,1,1,1,0
9,1,1,0,12,1,1,0,0,1,1,0,0
9,1,1,1,14,3,1,3,1,1,1,0,0
15,1,1,0,6,9,3,5,1,1,1,0,0
8,1,1,0,10,2,3,0,1,1,1,0,0
19,1,0,0,4,4,1,0,0,1,1,1,0
39,1,0,0,15,2,3,7,1,0,0,1,0
26,1,1,0,22,3,8,10,1,1,0,1,0
70,1,1,0,16,8,1,0,1,1,0,1,0
191,1,1,1,22,4,0,4,1,1,0,1,0
3,1,1,0,11,5,7,19,1,1,0,1,0
14,1,1,1,28,0,6,2,1,1,0,0,0
148,1,0,0,18,6,2,7,0,1,0,1,0
12,1,1,0,11,5,0,1,1,1,0,1,0
25,1,1,0,21,8,3,5,1,1,0,1,0
6,0,0,0,0,0,0,0,1,1,0,0,0
331,1,1,0,9,17,0,0,0,1,0,0,0
22,1,1,0,14,6,3,1,0,1,0,1,0
90,1,1,0,10,3,2,0,1,1,0,0,0
56,1,0,0,17,1,0,0,1,1,0,1,0
42,1,0,0,18,5,1,0,0,1,0,0,0
26,1,1,0,16,3,2,0,0,1,0,0,0
145,1,0,0,7,1,0,0,0,1,0,0,0
33,1,0,0,17,5,0,0,1,1,0,0,0
74,1,0,0,7,2,5,0,1,1,0,0,0
79,1,0,0,17,2,0,0,0,1,0,0,0
76,1,0,0,14,3,0,0,0,1,0,0,0
65,1,1,0,6,2,2,2,1,1,0,0,0
70,1,0,0,0,0,0,0,1,1,0,0,0
127,1,1,0,19,8,5,1,1,1,0,0,0
10,1,1,0,9,4,1,4,1,0,0,0,0
46,1,1,0,7,10,0,0,0,1,0,0,0
18,1,1,0,13,1,6,11,1,1,0,0,0
65,1,1,0,11,7,0,0,0,1,0,0,0
