gs_citations,is_intro_pres,is_meth_pres,is_res_pres,no_images,no_tables,no_alg,no_equations,fund_avail,accept_avail,suppl_info,link_to_code,target
9,1,1,0,10,5,0,0,1,1,0,0,1
2,1,1,0,11,0,0,0,0,1,0,1,1
21,1,1,0,13,2,0,0,1,1,0,0,1
22,1,1,0,3,4,2,0,1,1,0,0,1
23,1,1,0,12,10,0,0,1,0,0,1,1
52,1,1,0,11,1,0,0,1,1,0,0,1
13,1,1,0,8,4,0,0,0,1,0,1,1
80,1,1,0,5,6,0,0,1,0,0,1,1
37,1,1,0,11,2,2,0,1,1,0,0,1
33,1,1,0,11,4,0,0,1,0,0,1,1
93,1,1,0,6,7,0,0,1,1,0,1,1
182,1,1,0,6,5,0,0,1,1,0,0,1
3,1,1,0,3,5,0,0,0,1,1,1,1
0,0,0,0,0,2,0,0,1,0,1,1,1
8,1,0,1,0,4,0,0,1,1,1,0,1
3,1,0,0,6,1,0,0,1,1,1,0,1
39,1,1,1,0,2,1,1,1,0,1,0,1
50,1,0,0,0,2,2,0,1,1,0,0,1
6,1,0,0,16,3,10,0,1,1,0,0,1
12,1,1,0,20,1,0,0,1,0,0,1,1
18,1,1,0,9,3,5,2,0,0,0,1,1
14,1,1,1,15,3,5,0,1,1,0,0,1
12,1,1,0,17,2,2,0,0,0,0,0,1
16,1,1,1,16,5,2,4,1,1,0,1,1
26,1,1,0,22,3,8,10,1,1,0,1,1
10,1,0,0,7,7,7,2,1,1,0,0,1
11,1,1,0,6,1,0,0,1,1,0,1,1
4,1,1,0,11,3,5,14,1,1,0,0,1
3,1,1,0,12,3,0,0,0,1,0,1,1
6,1,1,0,11,4,2,0,0,1,0,1,1
15,1,1,0,4,0,3,0,1,0,0,1,1
29,1,1,0,11,2,2,1,1,0,0,1,1
29,1,1,0,10,2,2,0,1,1,0,1,1
9,1,1,0,9,0,1,0,0,0,0,0,1
3,1,1,0,8,1,0,0,0,0,0,1,1
29,1,1,0,3,3,8,0,1,1,0,0,1
4,1,1,0,9,3,0,5,0,1,0,1,1
5,1,1,0,4,4,2,0,1,1,0,1,1
10,1,1,0,3,2,0,0,1,0,0,1,1
8,1,1,0,2,2,3,0,0,0,0,0,1
2,1,1,0,5,2,2,0,0,1,0,0,1
1,1,1,0,15,1,1,5,0,1,0,1,1
29,1,1,0,17,3,0,0,1,1,0,1,1
5,1,1,0,12,0,2,0,1,1,0,0,1
58,1,0,0,11,4,2,0,1,0,0,0,1
1,1,1,0,2,0,0,0,1,1,0,0,1
32,1,1,0,12,5,0,0,0,1,0,1,1
33,1,1,0,8,1,0,0,0,1,0,1,1
6,1,1,0,13,1,0,0,0,0,0,1,1
15,1,1,0,12,3,3,1,1,1,0,0,1
20,1,1,0,0,1,10,0,1,0,1,1,1
17,1,1,0,16,1,3,0,1,1,0,0,1
2,1,0,0,16,0,0,0,0,1,0,1,1
16,1,1,0,12,2,3,0,1,0,0,1,1
9,1,1,0,11,2,2,0,1,1,0,1,1
11,1,1,0,13,2,3,5,1,0,0,0,1
26,1,1,0,16,2,0,0,0,0,0,1,1
25,1,1,0,8,4,2,0,1,0,0,1,1
181,1,1,0,4,6,0,0,0,0,1,1,1
45,1,1,0,0,1,2,4,1,0,1,0,1
83,1,1,1,7,2,1,1,1,0,1,1,1
12,1,1,0,3,1,1,0,0,0,0,0,1
10,1,1,0,3,4,0,0,0,0,0,1,1
12,0,1,0,3,1,1,0,0,0,0,1,1
23,0,1,0,6,2,0,0,0,0,0,1,1
7,0,1,0,2,2,0,0,0,0,0,1,1
5,0,1,0,4,3,0,0,0,0,0,1,1
3,1,1,0,7,0,3,0,1,1,0,0,1
78,1,1,1,14,4,1,0,1,0,0,1,1
17,1,0,0,6,4,0,0,0,1,0,1,1
3,1,1,0,4,0,0,0,0,1,0,1,1
3,1,1,0,10,5,8,35,1,1,0,1,1
19,1,1,1,8,5,5,0,1,1,0,1,1
0,1,0,0,4,4,8,7,1,1,0,1,1
19,1,1,0,7,11,9,0,0,1,0,1,1
17,1,0,0,1,2,0,0,0,1,0,0,1
10,1,1,0,22,3,6,0,1,1,0,1,1
11,1,1,0,12,5,2,11,1,1,0,1,1
32,1,1,0,13,12,1,0,1,0,0,0,1
4,1,1,1,4,0,1,0,1,1,0,0,1
14,1,1,0,4,0,3,0,1,1,0,1,1
4,1,0,0,4,2,0,0,0,1,0,0,1
21,1,1,0,8,0,5,8,0,1,0,1,1
5,1,0,1,4,0,0,0,0,0,0,1,1
2,1,0,0,8,4,6,0,1,1,0,0,1
2,1,1,0,7,1,4,0,1,1,0,0,1
6,1,1,1,27,3,0,1,1,0,1,0,1
10,1,1,0,17,0,0,0,1,0,1,1,1
9,1,0,0,8,3,0,4,1,0,0,1,1
25,1,1,0,4,2,0,0,1,1,0,1,1
39,1,1,0,11,3,0,0,1,1,0,1,1
11,1,1,0,5,3,1,0,1,1,0,1,1
10,1,1,0,13,2,2,0,1,1,0,1,1
88,1,0,0,2,0,0,0,1,1,0,0,1
240,1,1,0,0,1,0,0,1,0,0,1,1
9,1,1,0,1,2,3,0,1,1,0,0,1
4,1,1,0,9,4,0,1,1,1,0,1,1
48,1,1,0,9,6,4,2,1,1,0,1,1
13,1,1,0,8,4,2,0,0,0,0,1,1
11,1,1,0,8,5,1,0,1,1,0,0,1
22,1,1,0,7,3,0,0,0,0,0,1,1
